0.087 -0.000 -0.002
1 2 3

1 2 3
1 2 3
1 2 3
0.088 -0.001 -0.002
1 2 3

1 2 3
1 2 3
1 2 3
0.088 -0.001 -0.003
1 2 3

1 2 3
1 2 3
1 2 3
0.088 -0.001 -0.003
1 2 3

1 2 3
1 2 3
1 2 3
0.088 -0.001 -0.003
1 2 3

1 2 3
1 2 3
1 2 3
0.088 -0.001 -0.003
1 2 3

1 2 3
1 2 3
1 2 3
0.088 -0.001 -0.004
1 2 3

1 2 3
1 2 3
1 2 3
0.088 -0.001 -0.004
1 2 3

1 2 3
1 2 3
1 2 3
0.088 -0.002 -0.004
1 2 3

1 2 3
1 2 3
1 2 3
0.088 -0.002 -0.005
1 2 3

1 2 3
1 2 3
1 2 3
0.088 -0.002 -0.005
1 2 3

1 2 3
1 2 3
1 2 3
0.089 -0.002 -0.005
1 2 3

1 2 3
1 2 3
1 2 3
0.089 -0.002 -0.006
1 2 3

1 2 3
1 2 3
1 2 3
0.089 -0.002 -0.006
1 2 3

1 2 3
1 2 3
1 2 3
0.089 -0.003 -0.006
1 2 3

1 2 3
1 2 3
1 2 3
0.089 -0.003 -0.007
1 2 3

1 2 3
1 2 3
1 2 3
0.089 -0.003 -0.007
1 2 3

1 2 3
1 2 3
1 2 3
0.089 -0.003 -0.007
1 2 3

1 2 3
1 2 3
1 2 3
0.089 -0.003 -0.008
1 2 3

1 2 3
1 2 3
1 2 3
0.089 -0.003 -0.008
1 2 3

1 2 3
1 2 3
1 2 3
0.089 -0.004 -0.008
1 2 3

1 2 3
1 2 3
1 2 3
0.090 -0.004 -0.009
1 2 3

1 2 3
1 2 3
1 2 3
0.090 -0.004 -0.009
1 2 3

1 2 3
1 2 3
1 2 3
0.090 -0.004 -0.009
1 2 3

1 2 3
1 2 3
1 2 3
0.090 -0.004 -0.010
1 2 3

1 2 3
1 2 3
1 2 3
0.090 -0.004 -0.010
1 2 3

1 2 3
1 2 3
1 2 3
0.090 -0.005 -0.010
1 2 3

1 2 3
1 2 3
1 2 3
0.090 -0.005 -0.011
1 2 3

1 2 3
1 2 3
1 2 3
0.091 -0.005 -0.011
1 2 3

1 2 3
1 2 3
1 2 3
0.091 -0.005 -0.011
1 2 3

1 2 3
1 2 3
1 2 3
0.091 -0.005 -0.012
1 2 3

1 2 3
1 2 3
1 2 3
0.091 -0.005 -0.012
1 2 3

1 2 3
1 2 3
1 2 3
0.091 -0.006 -0.013
1 2 3

1 2 3
1 2 3
1 2 3
0.091 -0.006 -0.013
1 2 3

1 2 3
1 2 3
1 2 3
0.092 -0.006 -0.013
1 2 3

1 2 3
1 2 3
1 2 3
0.092 -0.006 -0.014
1 2 3

1 2 3
1 2 3
1 2 3
0.092 -0.006 -0.014
1 2 3

1 2 3
1 2 3
1 2 3
0.092 -0.006 -0.014
1 2 3

1 2 3
1 2 3
1 2 3
0.092 -0.006 -0.015
1 2 3

1 2 3
1 2 3
1 2 3
0.092 -0.007 -0.015
1 2 3

1 2 3
1 2 3
1 2 3
0.093 -0.007 -0.016
1 2 3

1 2 3
1 2 3
1 2 3
0.093 -0.007 -0.016
1 2 3

1 2 3
1 2 3
1 2 3
0.093 -0.007 -0.016
1 2 3

1 2 3
1 2 3
1 2 3
0.093 -0.007 -0.017
1 2 3

1 2 3
1 2 3
1 2 3
0.093 -0.007 -0.017
1 2 3

1 2 3
1 2 3
1 2 3
0.093 -0.008 -0.017
1 2 3

1 2 3
1 2 3
1 2 3
0.093 -0.008 -0.018
1 2 3

1 2 3
1 2 3
1 2 3
0.094 -0.008 -0.018
1 2 3

1 2 3
1 2 3
1 2 3
0.094 -0.008 -0.018
1 2 3

1 2 3
1 2 3
1 2 3
0.094 -0.008 -0.019
1 2 3

1 2 3
1 2 3
1 2 3
0.094 -0.008 -0.019
1 2 3

1 2 3
1 2 3
1 2 3
0.094 -0.008 -0.019
1 2 3

1 2 3
1 2 3
1 2 3
0.094 -0.008 -0.020
1 2 3

1 2 3
1 2 3
1 2 3
0.094 -0.009 -0.020
1 2 3

1 2 3
1 2 3
1 2 3
0.094 -0.009 -0.021
1 2 3

1 2 3
1 2 3
1 2 3
0.094 -0.009 -0.021
1 2 3

1 2 3
1 2 3
1 2 3
0.094 -0.009 -0.021
1 2 3

1 2 3
1 2 3
1 2 3
0.094 -0.009 -0.022
1 2 3

1 2 3
1 2 3
1 2 3
0.094 -0.009 -0.022
1 2 3

1 2 3
1 2 3
1 2 3
0.095 -0.009 -0.022
1 2 3

1 2 3
1 2 3
1 2 3
0.095 -0.009 -0.023
1 2 3

1 2 3
1 2 3
1 2 3
0.095 -0.009 -0.023
1 2 3

1 2 3
1 2 3
1 2 3
0.095 -0.009 -0.024
1 2 3

1 2 3
1 2 3
1 2 3
0.095 -0.010 -0.024
1 2 3

1 2 3
1 2 3
1 2 3
0.095 -0.010 -0.024
1 2 3

1 2 3
1 2 3
1 2 3
0.095 -0.010 -0.025
1 2 3

1 2 3
1 2 3
1 2 3
0.096 -0.010 -0.025
1 2 3

1 2 3
1 2 3
1 2 3
0.096 -0.010 -0.025
1 2 3

1 2 3
1 2 3
1 2 3
0.096 -0.010 -0.026
1 2 3

1 2 3
1 2 3
1 2 3
0.096 -0.010 -0.026
1 2 3

1 2 3
1 2 3
1 2 3
0.096 -0.011 -0.026
1 2 3

1 2 3
1 2 3
1 2 3
0.096 -0.011 -0.027
1 2 3

1 2 3
1 2 3
1 2 3
0.097 -0.011 -0.027
1 2 3

1 2 3
1 2 3
1 2 3
0.097 -0.011 -0.027
1 2 3

1 2 3
1 2 3
1 2 3
0.097 -0.011 -0.028
1 2 3

1 2 3
1 2 3
1 2 3
0.097 -0.011 -0.028
1 2 3

1 2 3
1 2 3
1 2 3
0.097 -0.011 -0.028
1 2 3

1 2 3
1 2 3
1 2 3
0.097 -0.011 -0.029
1 2 3

1 2 3
1 2 3
1 2 3
0.097 -0.011 -0.029
1 2 3

1 2 3
1 2 3
1 2 3
0.097 -0.011 -0.029
1 2 3

1 2 3
1 2 3
1 2 3
0.097 -0.011 -0.030
1 2 3

1 2 3
1 2 3
1 2 3
0.097 -0.012 -0.030
1 2 3

1 2 3
1 2 3
1 2 3
0.097 -0.012 -0.030
1 2 3

1 2 3
1 2 3
1 2 3
0.097 -0.012 -0.031
1 2 3

1 2 3
1 2 3
1 2 3
